class,ap50,ap50_95,dice,iou,precision,recall,gt_frames,gt_instances,pred_instances
base of tongue,0.3404,0.2375,0.508,0.4185,0.6588,0.4258,96,102,460
cut,0.2643,0.0904,0.7476,0.6038,0.7229,0.7215,32,139,108
endotracheal tube,1.0,0.6396,0.8837,0.7924,0.9225,0.8402,32,32,38
fat fascia,0.0,0.0,0.0,0.0,,0.0,33,65,0
ligasure,0.0,0.0,0.0,0.0,,0.0,5,5,0
maryland,0.6006,0.3762,0.7258,0.6097,0.6255,0.8265,147,247,616
medial pterygoid muscle,0.4002,0.1511,0.3635,0.2881,0.6045,0.5011,94,95,318
monopolar,0.5003,0.3157,0.4869,0.4227,0.5991,0.5597,114,118,491
parapharyngeal fat,0.7629,0.3828,0.7072,0.5748,0.4139,0.8775,45,45,453
posterior pharyngeal wall,0.2859,0.0706,0.4367,0.3295,0.6612,0.5156,95,116,445
prevertebral fascia,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
soft palate,0.4301,0.2058,0.5683,0.4476,0.7063,0.7208,155,181,781
suction,0.4107,0.1695,0.6507,0.5086,0.5529,0.7007,82,139,629
AGGREGATE (all 13 classes with GT),0.3843,0.203,0.4676,0.3843,0.588,0.5146,,,
"AGGREGATE (evaluable, >=5 GT frames, n=12)",0.4163,0.2199,0.5065,0.4163,0.6467,0.5574,,,
